day,Team_A_skill_sol_flag,Team_A_pref_sol_flag,Team_A_total_skills,Team_A_work_cost,Team_A_train_cost,Team_A_excess_after_skill,Team_A_excess_after_pref,Team_A_present,Team_A_gohome_cost,Team_A_gohome_skill_sol_flag,Team_A_pref_match_after_skill,Team_A_pref_match_after_pref,Team_B_skill_sol_flag,Team_B_pref_sol_flag,Team_B_total_skills,Team_B_work_cost,Team_B_train_cost,Team_B_excess_after_skill,Team_B_excess_after_pref,Team_B_present,Team_B_gohome_cost,Team_B_gohome_skill_sol_flag,Team_B_pref_match_after_skill,Team_B_pref_match_after_pref,Team_C_skill_sol_flag,Team_C_pref_sol_flag,Team_C_total_skills,Team_C_work_cost,Team_C_train_cost,Team_C_excess_after_skill,Team_C_excess_after_pref,Team_C_present,Team_C_gohome_cost,Team_C_gohome_skill_sol_flag,Team_C_pref_match_after_skill,Team_C_pref_match_after_pref,Team_D_skill_sol_flag,Team_D_pref_sol_flag,Team_D_total_skills,Team_D_work_cost,Team_D_train_cost,Team_D_excess_after_skill,Team_D_excess_after_pref,Team_D_present,Team_D_gohome_cost,Team_D_gohome_skill_sol_flag,Team_D_pref_match_after_skill,Team_D_pref_match_after_pref,Team_E_skill_sol_flag,Team_E_pref_sol_flag,Team_E_total_skills,Team_E_work_cost,Team_E_train_cost,Team_E_excess_after_skill,Team_E_excess_after_pref,Team_E_present,Team_E_gohome_cost,Team_E_gohome_skill_sol_flag,Team_E_pref_match_after_skill,Team_E_pref_match_after_pref,Team_F_skill_sol_flag,Team_F_pref_sol_flag,Team_F_total_skills,Team_F_work_cost,Team_F_train_cost,Team_F_excess_after_skill,Team_F_excess_after_pref,Team_F_present,Team_F_gohome_cost,Team_F_gohome_skill_sol_flag,Team_F_pref_match_after_skill,Team_F_pref_match_after_pref,Team_G_skill_sol_flag,Team_G_pref_sol_flag,Team_G_total_skills,Team_G_work_cost,Team_G_train_cost,Team_G_excess_after_skill,Team_G_excess_after_pref,Team_G_present,Team_G_gohome_cost,Team_G_gohome_skill_sol_flag,Team_G_pref_match_after_skill,Team_G_pref_match_after_pref
160,True,True,63,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,True,True,92,4160.0,0.0,0.0,0.0,13,,False,8.0,11.0,True,True,109,3840.0,0.0,0.0,0.0,12,,False,3.0,10.0,False,False,40,,,,,6,,False,,,False,False,43,,,,,8,,False,,,True,True,92,3520.0,320.0,3.0,3.0,14,4000.0,True,2.0,11.0,True,True,76,3520.0,0.0,0.0,0.0,11,3520.0,True,11.0,11.0
161,True,True,63,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,False,False,92,,,,,11,,False,,,True,True,109,3840.0,320.0,2.0,2.0,14,4160.0,True,3.0,12.0,False,False,40,,,,,8,,False,,,False,False,43,,,,,7,,False,,,True,True,92,3520.0,0.0,1.0,1.0,12,3680.0,True,3.0,9.0,False,False,76,,,,,10,,False,,
162,True,True,63,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,92,4160.0,0.0,1.0,1.0,14,4320.0,True,7.0,11.0,True,True,109,3840.0,0.0,0.0,0.0,12,,False,5.0,9.0,False,False,40,,,,,8,,False,,,False,False,43,,,,,8,,False,,,True,True,92,3520.0,320.0,3.0,3.0,14,4000.0,True,2.0,11.0,True,True,76,3520.0,960.0,3.0,3.0,14,4000.0,True,2.0,11.0
163,True,True,63,4160.0,320.0,1.0,1.0,14,4480.0,True,10.0,12.0,True,True,92,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,109,3840.0,320.0,2.0,2.0,14,4320.0,True,3.0,10.0,False,False,40,,,,,8,,False,,,False,False,43,,,,,8,,False,,,True,True,93,3520.0,0.0,3.0,3.0,14,4000.0,True,1.0,10.0,True,True,76,3520.0,640.0,2.0,2.0,13,3840.0,True,5.0,11.0
164,True,True,63,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,False,False,92,,,,,11,,False,,,False,False,109,,,,,11,,False,,,False,False,40,,,,,8,,False,,,True,True,43,2880.0,0.0,0.0,0.0,9,2880.0,True,8.0,8.0,True,True,93,3520.0,0.0,1.0,1.0,12,3680.0,True,4.0,10.0,True,True,76,3520.0,0.0,0.0,0.0,11,3520.0,True,5.0,10.0
165,True,True,63,4160.0,0.0,0.0,0.0,13,4160.0,True,11.0,12.0,True,True,92,4160.0,0.0,0.0,0.0,13,,False,6.0,11.0,True,True,109,3840.0,0.0,2.0,2.0,14,4160.0,True,4.0,10.0,False,False,40,,,,,8,,False,,,False,False,43,,,,,8,,False,,,True,True,93,3520.0,0.0,2.0,2.0,13,3840.0,True,6.0,11.0,True,True,76,3520.0,320.0,2.0,2.0,13,3840.0,True,5.0,11.0
166,True,True,63,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,True,True,92,4160.0,0.0,1.0,1.0,14,4320.0,True,7.0,11.0,True,True,110,3840.0,0.0,4.0,4.0,16,4640.0,True,4.0,11.0,True,True,40,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,True,True,43,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,94,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,True,True,77,3520.0,320.0,1.0,1.0,12,3840.0,True,3.0,9.0
167,True,True,63,4160.0,0.0,0.0,0.0,13,,False,9.0,11.0,True,True,92,4160.0,0.0,1.0,1.0,14,4480.0,True,7.0,11.0,True,True,112,3840.0,0.0,1.0,1.0,13,4160.0,True,4.0,10.0,True,True,40,2880.0,0.0,0.0,0.0,9,,False,7.0,8.0,True,True,43,2880.0,0.0,0.0,0.0,9,2880.0,True,8.0,8.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,2.0,9.0,True,True,77,3520.0,320.0,1.0,1.0,12,3680.0,True,9.0,11.0
168,True,True,63,4160.0,0.0,0.0,0.0,13,,False,9.0,11.0,True,True,92,4160.0,640.0,2.0,2.0,15,4640.0,True,8.0,12.0,True,True,112,3840.0,320.0,3.0,3.0,15,4320.0,True,3.0,11.0,True,True,40,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,7.0,True,True,43,2880.0,0.0,0.0,0.0,9,2880.0,True,4.0,8.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,4.0,8.0,True,True,77,3520.0,0.0,0.0,0.0,11,,False,10.0,10.0
169,False,False,63,,,,,11,,False,,,True,True,92,4160.0,0.0,1.0,1.0,14,4320.0,True,6.0,12.0,True,True,112,3840.0,0.0,2.0,2.0,14,4160.0,True,3.0,11.0,True,True,40,2880.0,320.0,1.0,1.0,10,3040.0,True,9.0,9.0,True,True,43,2880.0,0.0,1.0,1.0,10,3040.0,True,4.0,9.0,True,True,94,3520.0,0.0,1.0,1.0,12,3680.0,True,5.0,11.0,True,True,77,3520.0,320.0,1.0,1.0,12,3680.0,True,7.0,10.0
170,True,True,63,4160.0,0.0,0.0,0.0,13,4160.0,True,11.0,12.0,True,True,92,4160.0,320.0,1.0,1.0,14,4320.0,True,7.0,11.0,True,True,113,3840.0,320.0,2.0,2.0,14,4160.0,True,5.0,11.0,False,False,40,,,,,6,,False,,,False,False,43,,,,,7,,False,,,True,True,94,3520.0,320.0,2.0,2.0,13,3840.0,True,6.0,11.0,True,True,77,3520.0,320.0,2.0,2.0,13,3840.0,True,7.0,11.0
171,True,True,63,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,False,False,92,,,,,10,,False,,,False,False,113,,,,,11,,False,,,False,False,40,,,,,7,,False,,,False,False,43,,,,,8,,False,,,True,True,94,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,10.0,True,True,78,3520.0,320.0,1.0,1.0,12,3680.0,True,9.0,11.0
172,True,True,63,4160.0,0.0,1.0,1.0,14,4320.0,True,12.0,13.0,True,True,92,4160.0,0.0,2.0,2.0,15,4480.0,True,8.0,13.0,True,True,113,3840.0,320.0,3.0,3.0,15,4320.0,True,3.0,11.0,True,True,40,2880.0,0.0,0.0,0.0,9,,False,7.0,8.0,True,True,43,2880.0,0.0,0.0,0.0,9,2880.0,True,8.0,8.0,True,True,94,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,True,True,78,3520.0,0.0,0.0,0.0,11,3520.0,True,9.0,11.0
173,True,True,64,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,13.0,True,True,93,4160.0,0.0,1.0,1.0,14,4320.0,True,4.0,11.0,True,True,113,3840.0,320.0,2.0,2.0,14,4320.0,True,4.0,9.0,False,False,40,,,,,7,,False,,,False,False,43,,,,,5,,False,,,True,True,94,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,True,True,78,3520.0,0.0,0.0,0.0,11,,False,7.0,10.0
174,True,True,64,4160.0,320.0,1.0,1.0,14,4320.0,True,8.0,12.0,True,True,93,4160.0,640.0,2.0,2.0,15,4480.0,True,5.0,12.0,True,True,113,3840.0,320.0,2.0,2.0,14,4320.0,True,5.0,10.0,True,True,40,2880.0,320.0,1.0,1.0,10,3040.0,True,9.0,9.0,True,True,43,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,9.0,True,True,94,3520.0,0.0,2.0,2.0,13,3840.0,True,3.0,11.0,True,True,78,3520.0,0.0,2.0,2.0,13,4000.0,True,2.0,10.0
175,False,False,64,,,,,11,,False,,,True,True,93,4160.0,640.0,2.0,2.0,15,4480.0,True,9.0,13.0,True,True,113,3840.0,640.0,3.0,3.0,15,4320.0,True,3.0,11.0,True,True,40,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,8.0,True,True,43,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,9.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,6.0,9.0,True,True,80,3520.0,0.0,0.0,0.0,11,,False,9.0,10.0
176,True,True,64,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,93,4160.0,320.0,2.0,2.0,15,4640.0,True,8.0,12.0,True,True,114,3840.0,320.0,3.0,3.0,15,4480.0,True,4.0,11.0,True,True,40,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,9.0,True,True,43,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,8.0,True,True,94,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,11.0,True,True,80,3520.0,320.0,1.0,1.0,12,,False,5.0,9.0
177,True,True,64,4160.0,320.0,2.0,2.0,15,4480.0,True,9.0,13.0,False,False,93,,,,,11,,False,,,True,True,114,3840.0,0.0,1.0,1.0,13,,False,8.0,10.0,False,False,40,,,,,8,,False,,,True,True,43,2880.0,320.0,1.0,1.0,10,3040.0,True,6.0,8.0,True,True,94,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,10.0,True,True,80,3520.0,640.0,2.0,2.0,13,3840.0,True,7.0,11.0
178,False,False,64,,,,,12,,False,,,True,True,93,4160.0,320.0,2.0,2.0,15,4480.0,True,5.0,12.0,True,True,114,3840.0,320.0,4.0,4.0,16,4640.0,True,3.0,11.0,True,True,40,2880.0,0.0,1.0,1.0,10,3040.0,True,9.0,9.0,True,True,43,2880.0,320.0,1.0,1.0,10,3040.0,True,3.0,8.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,5.0,9.0,True,True,80,3520.0,640.0,2.0,2.0,13,3840.0,True,4.0,10.0
179,False,False,64,,,,,10,,False,,,True,True,94,4160.0,0.0,1.0,1.0,14,4480.0,True,7.0,12.0,True,True,115,3840.0,0.0,0.0,0.0,12,,False,6.0,10.0,False,False,41,,,,,8,,False,,,False,False,43,,,,,7,,False,,,False,False,94,,,,,10,,False,,,True,True,80,3520.0,0.0,0.0,0.0,11,,False,10.0,10.0
180,True,True,64,4160.0,320.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,94,4160.0,320.0,1.0,1.0,14,,False,6.0,10.0,True,True,115,3840.0,0.0,1.0,1.0,13,4000.0,True,3.0,11.0,True,True,41,2880.0,0.0,0.0,0.0,9,,False,5.0,7.0,False,False,43,,,,,8,,False,,,True,True,94,3520.0,320.0,2.0,2.0,13,3840.0,True,5.0,11.0,False,False,80,,,,,10,,False,,
181,False,False,64,,,,,11,,False,,,True,True,94,4160.0,0.0,0.0,0.0,13,4160.0,True,5.0,10.0,False,False,115,,,,,11,,False,,,False,False,41,,,,,8,,False,,,True,True,43,2880.0,0.0,0.0,0.0,9,2880.0,True,4.0,8.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,6.0,10.0,True,True,80,3520.0,0.0,0.0,0.0,11,,False,7.0,9.0
182,False,False,64,,,,,12,,False,,,False,False,94,,,,,12,,False,,,True,True,115,3840.0,320.0,2.0,2.0,14,4160.0,True,2.0,10.0,True,True,41,2880.0,0.0,1.0,1.0,10,3040.0,True,9.0,9.0,True,True,43,2880.0,320.0,2.0,2.0,11,3200.0,True,3.0,9.0,True,True,94,3520.0,0.0,1.0,1.0,12,3680.0,True,4.0,10.0,True,True,80,3520.0,0.0,0.0,0.0,11,,False,5.0,9.0
183,False,False,64,,,,,12,,False,,,True,True,94,4160.0,640.0,2.0,2.0,15,4480.0,True,6.0,12.0,True,True,115,3840.0,640.0,3.0,3.0,15,4320.0,True,4.0,11.0,True,True,41,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,9.0,True,True,44,2880.0,320.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,94,3520.0,0.0,3.0,3.0,14,4000.0,True,3.0,11.0,True,True,80,3520.0,0.0,0.0,0.0,11,3520.0,True,6.0,10.0
184,False,False,64,,,,,11,,False,,,True,True,94,4160.0,0.0,2.0,2.0,15,4640.0,True,7.0,12.0,True,True,115,3840.0,0.0,2.0,2.0,14,4160.0,True,3.0,10.0,False,False,41,,,,,8,,False,,,True,True,44,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,8.0,True,True,94,3520.0,0.0,1.0,1.0,12,3680.0,True,5.0,11.0,False,False,80,,,,,10,,False,,
185,False,False,64,,,,,11,,False,,,True,True,95,4160.0,0.0,1.0,1.0,14,,False,7.0,11.0,True,True,115,3840.0,0.0,2.0,2.0,14,4160.0,True,2.0,10.0,False,False,41,,,,,8,,False,,,False,False,44,,,,,8,,False,,,True,True,94,3520.0,320.0,1.0,1.0,12,3680.0,True,5.0,10.0,True,True,80,3520.0,640.0,3.0,3.0,14,4000.0,True,2.0,11.0
186,False,False,64,,,,,11,,False,,,True,True,96,4160.0,320.0,2.0,2.0,15,4640.0,True,5.0,11.0,True,True,115,3840.0,0.0,0.0,0.0,12,,False,6.0,10.0,True,True,41,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,9.0,True,True,44,2880.0,640.0,2.0,2.0,11,3200.0,True,3.0,9.0,True,True,94,3520.0,0.0,0.0,0.0,11,,False,5.0,9.0,True,True,80,3520.0,320.0,1.0,1.0,12,3840.0,True,5.0,10.0
187,True,True,64,4160.0,0.0,2.0,2.0,15,4480.0,True,9.0,13.0,True,True,96,4160.0,320.0,2.0,2.0,15,4640.0,True,7.0,12.0,True,True,115,3840.0,0.0,0.0,0.0,12,,False,3.0,9.0,True,True,42,2880.0,320.0,1.0,1.0,10,3040.0,True,9.0,9.0,False,False,44,,,,,8,,False,,,True,True,94,3520.0,0.0,1.0,1.0,12,3680.0,True,5.0,10.0,True,True,80,3520.0,0.0,0.0,0.0,11,,False,3.0,8.0
188,True,True,65,4160.0,320.0,2.0,2.0,15,4480.0,True,10.0,13.0,True,True,96,4160.0,0.0,0.0,0.0,13,,False,7.0,10.0,True,True,115,3840.0,0.0,1.0,1.0,13,4160.0,True,8.0,11.0,False,False,42,,,,,6,,False,,,False,False,44,,,,,8,,False,,,True,True,94,3520.0,320.0,4.0,4.0,15,4160.0,True,2.0,11.0,True,True,80,3520.0,0.0,1.0,1.0,12,3680.0,True,9.0,11.0
189,True,True,65,4160.0,0.0,0.0,0.0,13,4160.0,True,12.0,12.0,True,True,96,4160.0,0.0,0.0,0.0,13,4160.0,True,4.0,9.0,True,True,115,3840.0,0.0,2.0,2.0,14,4320.0,True,7.0,11.0,False,False,42,,,,,8,,False,,,False,False,44,,,,,8,,False,,,True,True,94,3520.0,320.0,2.0,2.0,13,3840.0,True,7.0,11.0,True,True,81,3520.0,320.0,1.0,1.0,12,,False,5.0,9.0
190,False,False,65,,,,,12,,False,,,False,False,96,,,,,12,,False,,,True,True,115,3840.0,0.0,1.0,1.0,13,4160.0,True,3.0,10.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,7.0,8.0,True,True,44,2880.0,0.0,0.0,0.0,9,,False,4.0,7.0,True,True,94,3520.0,0.0,1.0,1.0,12,3840.0,True,6.0,10.0,True,True,81,3520.0,320.0,2.0,2.0,13,4000.0,True,1.0,10.0
191,True,True,65,4160.0,320.0,2.0,2.0,15,4480.0,True,10.0,13.0,True,True,96,4160.0,320.0,2.0,2.0,15,4480.0,True,8.0,12.0,True,True,115,3840.0,320.0,2.0,2.0,14,4160.0,True,5.0,10.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,5.0,7.0,False,False,44,,,,,7,,False,,,True,True,95,3520.0,0.0,3.0,3.0,14,4000.0,True,2.0,11.0,True,True,82,3520.0,0.0,0.0,0.0,11,3520.0,True,8.0,10.0
192,True,True,65,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,12.0,True,True,97,4160.0,0.0,0.0,0.0,13,,False,7.0,10.0,True,True,115,3840.0,320.0,1.0,1.0,13,4160.0,True,4.0,9.0,False,False,42,,,,,6,,False,,,False,False,44,,,,,6,,False,,,True,True,95,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0,False,False,82,,,,,9,,False,,
193,True,True,65,4160.0,320.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,97,4160.0,0.0,3.0,3.0,16,4640.0,True,3.0,12.0,True,True,115,3840.0,320.0,4.0,4.0,16,4480.0,True,3.0,11.0,False,False,42,,,,,8,,False,,,True,True,44,2880.0,0.0,0.0,0.0,9,2880.0,True,5.0,9.0,True,True,95,3520.0,0.0,0.0,0.0,11,,False,6.0,10.0,True,True,82,3520.0,320.0,2.0,2.0,13,4000.0,True,1.0,10.0
194,False,False,65,,,,,10,,False,,,True,True,98,4160.0,320.0,2.0,2.0,15,4480.0,True,8.0,12.0,True,True,116,3840.0,640.0,4.0,4.0,16,4480.0,True,3.0,11.0,False,False,42,,,,,8,,False,,,False,False,44,,,,,7,,False,,,True,True,95,3520.0,0.0,0.0,0.0,11,,False,6.0,10.0,False,False,83,,,,,10,,False,,
195,True,True,65,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,False,False,98,,,,,11,,False,,,False,False,116,,,,,11,,False,,,True,True,42,2880.0,0.0,0.0,0.0,9,,False,7.0,8.0,True,True,44,2880.0,0.0,0.0,0.0,9,2880.0,True,8.0,8.0,True,True,95,3520.0,320.0,3.0,3.0,14,4000.0,True,2.0,11.0,False,False,83,,,,,10,,False,,
196,True,True,66,4160.0,0.0,0.0,0.0,13,,False,11.0,12.0,False,False,98,,,,,11,,False,,,True,True,116,3840.0,320.0,1.0,1.0,13,,False,6.0,10.0,False,False,42,,,,,8,,False,,,True,True,44,2880.0,320.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,95,3520.0,320.0,1.0,1.0,12,3680.0,True,4.0,10.0,True,True,83,3520.0,0.0,0.0,0.0,11,3520.0,True,5.0,10.0
197,True,True,66,4160.0,0.0,0.0,0.0,13,4160.0,True,12.0,12.0,False,False,98,,,,,11,,False,,,True,True,116,3840.0,0.0,0.0,0.0,12,3840.0,True,3.0,10.0,False,False,42,,,,,8,,False,,,False,False,44,,,,,8,,False,,,True,True,95,3520.0,320.0,2.0,2.0,13,3840.0,True,5.0,11.0,True,True,83,3520.0,0.0,0.0,0.0,11,,False,5.0,9.0
198,True,True,66,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,98,4160.0,0.0,0.0,0.0,13,,False,7.0,10.0,True,True,116,3840.0,0.0,2.0,2.0,14,4160.0,True,4.0,10.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,False,False,44,,,,,8,,False,,,True,True,95,3520.0,0.0,2.0,2.0,13,4000.0,True,6.0,9.0,True,True,83,3520.0,0.0,1.0,1.0,12,,False,4.0,9.0
199,False,False,66,,,,,12,,False,,,False,False,98,,,,,12,,False,,,True,True,116,3840.0,0.0,0.0,0.0,12,,False,6.0,8.0,False,False,42,,,,,8,,False,,,False,False,44,,,,,8,,False,,,True,True,96,3520.0,0.0,2.0,2.0,13,4000.0,True,4.0,10.0,False,False,84,,,,,10,,False,,
200,True,True,66,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,False,False,98,,,,,12,,False,,,True,True,116,3840.0,0.0,0.0,0.0,12,,False,5.0,9.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,False,False,44,,,,,8,,False,,,True,True,96,3520.0,320.0,2.0,2.0,13,3840.0,True,4.0,10.0,True,True,84,3520.0,0.0,0.0,0.0,11,,False,6.0,9.0
201,False,False,66,,,,,12,,False,,,True,True,98,4160.0,320.0,1.0,1.0,14,4320.0,True,6.0,11.0,True,True,116,3840.0,0.0,2.0,2.0,14,4320.0,True,4.0,10.0,False,False,42,,,,,8,,False,,,False,False,44,,,,,8,,False,,,True,True,96,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0,True,True,84,3520.0,320.0,2.0,2.0,13,3840.0,True,4.0,11.0
202,True,True,66,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,98,4160.0,0.0,1.0,1.0,14,4480.0,True,5.0,11.0,True,True,116,3840.0,320.0,1.0,1.0,13,4160.0,True,4.0,10.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,8.0,8.0,False,False,44,,,,,8,,False,,,True,True,96,3520.0,320.0,2.0,2.0,13,3840.0,True,4.0,10.0,True,True,84,3520.0,320.0,1.0,1.0,12,3680.0,True,6.0,11.0
203,False,False,66,,,,,12,,False,,,True,True,98,4160.0,0.0,0.0,0.0,13,,False,8.0,10.0,True,True,116,3840.0,0.0,1.0,1.0,13,4160.0,True,5.0,9.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,False,False,44,,,,,8,,False,,,True,True,96,3520.0,0.0,0.0,0.0,11,3520.0,True,6.0,11.0,True,True,84,3520.0,320.0,1.0,1.0,12,3680.0,True,7.0,11.0
204,False,False,66,,,,,12,,False,,,True,True,98,4160.0,0.0,1.0,1.0,14,4320.0,True,6.0,11.0,True,True,116,3840.0,0.0,3.0,3.0,15,4320.0,True,2.0,10.0,False,False,42,,,,,8,,False,,,True,True,44,2880.0,0.0,1.0,1.0,10,3040.0,True,7.0,9.0,True,True,96,3520.0,0.0,1.0,1.0,12,3680.0,True,4.0,10.0,True,True,84,3520.0,0.0,0.0,0.0,11,,False,9.0,10.0
205,False,False,66,,,,,12,,False,,,True,True,98,4160.0,320.0,2.0,2.0,15,4480.0,True,4.0,11.0,True,True,117,3840.0,0.0,4.0,4.0,16,4480.0,True,3.0,12.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,False,False,44,,,,,8,,False,,,True,True,96,3520.0,320.0,1.0,1.0,12,3680.0,True,5.0,11.0,True,True,84,3520.0,0.0,0.0,0.0,11,,False,6.0,10.0
206,False,False,66,,,,,12,,False,,,False,False,98,,,,,11,,False,,,False,False,118,,,,,10,,False,,,True,True,42,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,7.0,False,False,44,,,,,8,,False,,,True,True,96,3520.0,0.0,2.0,2.0,13,3840.0,True,7.0,11.0,True,True,84,3520.0,320.0,1.0,1.0,12,3680.0,True,6.0,10.0
207,True,True,66,4160.0,320.0,1.0,1.0,14,4320.0,True,10.0,12.0,False,False,98,,,,,11,,False,,,False,False,118,,,,,11,,False,,,True,True,42,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,False,False,44,,,,,8,,False,,,True,True,97,3520.0,0.0,3.0,3.0,14,4160.0,True,3.0,10.0,True,True,84,3520.0,0.0,0.0,0.0,11,,False,7.0,10.0
208,True,True,66,4160.0,320.0,1.0,1.0,14,4480.0,True,10.0,12.0,False,False,98,,,,,11,,False,,,True,True,118,3840.0,0.0,1.0,1.0,13,4160.0,True,4.0,10.0,False,False,42,,,,,8,,False,,,False,False,44,,,,,8,,False,,,True,True,97,3520.0,320.0,4.0,4.0,15,4160.0,True,2.0,11.0,True,True,84,3520.0,0.0,0.0,0.0,11,,False,5.0,8.0
209,True,True,66,4160.0,0.0,1.0,1.0,14,4320.0,True,10.0,12.0,True,True,98,4160.0,0.0,0.0,0.0,13,,False,8.0,11.0,True,True,118,3840.0,320.0,2.0,2.0,14,4160.0,True,4.0,9.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,False,False,44,,,,,8,,False,,,True,True,97,3520.0,0.0,4.0,4.0,15,4160.0,True,2.0,11.0,True,True,84,3520.0,320.0,1.0,1.0,12,3840.0,True,7.0,10.0
210,False,False,66,,,,,12,,False,,,True,True,98,4160.0,640.0,4.0,4.0,17,4800.0,True,4.0,13.0,True,True,118,3840.0,320.0,4.0,4.0,16,4480.0,True,3.0,12.0,True,True,42,2880.0,0.0,0.0,0.0,9,,False,6.0,8.0,True,True,44,2880.0,0.0,1.0,1.0,10,3040.0,True,4.0,9.0,True,True,98,3520.0,0.0,0.0,0.0,11,,False,6.0,10.0,True,True,84,3520.0,0.0,0.0,0.0,11,,False,8.0,10.0
211,True,True,66,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,False,False,98,,,,,12,,False,,,False,False,118,,,,,11,,False,,,True,True,42,2880.0,320.0,1.0,1.0,10,3040.0,True,9.0,9.0,True,True,44,2880.0,0.0,1.0,1.0,10,3040.0,True,7.0,9.0,True,True,98,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0,True,True,84,3520.0,640.0,2.0,2.0,13,3840.0,True,3.0,10.0
212,True,True,66,4160.0,320.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,98,4160.0,0.0,3.0,3.0,16,4640.0,True,5.0,13.0,True,True,118,3840.0,320.0,4.0,4.0,16,4480.0,True,2.0,11.0,False,False,42,,,,,7,,False,,,False,False,44,,,,,7,,False,,,True,True,98,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0,True,True,84,3520.0,320.0,2.0,2.0,13,3840.0,True,4.0,11.0
213,False,False,66,,,,,12,,False,,,False,False,99,,,,,12,,False,,,True,True,118,3840.0,320.0,1.0,1.0,13,4160.0,True,5.0,10.0,False,False,42,,,,,8,,False,,,True,True,44,2880.0,0.0,1.0,1.0,10,3040.0,True,6.0,8.0,True,True,98,3520.0,0.0,1.0,1.0,12,3680.0,True,5.0,11.0,True,True,85,3520.0,0.0,2.0,2.0,13,3840.0,True,4.0,11.0
214,False,False,66,,,,,11,,False,,,False,False,99,,,,,11,,False,,,True,True,118,3840.0,0.0,0.0,0.0,12,,False,6.0,9.0,False,False,42,,,,,7,,False,,,False,False,44,,,,,7,,False,,,True,True,98,3520.0,0.0,0.0,0.0,11,3520.0,True,7.0,10.0,True,True,85,3520.0,320.0,2.0,2.0,13,4000.0,True,6.0,10.0
215,True,True,66,4160.0,0.0,0.0,0.0,13,4160.0,True,10.0,12.0,True,True,99,4160.0,320.0,3.0,3.0,16,4640.0,True,4.0,12.0,True,True,118,3840.0,0.0,3.0,3.0,15,4320.0,True,2.0,11.0,False,False,42,,,,,8,,False,,,False,False,44,,,,,8,,False,,,True,True,98,3520.0,0.0,3.0,3.0,14,4160.0,True,3.0,10.0,True,True,85,3520.0,0.0,0.0,0.0,11,3520.0,True,8.0,10.0
